idMeal,Main Ingredient,Tags
,"[ing 1, ing 2, ...]","[tag1, tag2, ....]"
52775,"[lasagna, lentils, zucchini, carrot]","[vegan, vegetarian, italian, pasta, lasagna, lentils, cheese,...]"
52835,"[Fettucine, Clotted cream, cream, parmesan]","[italian, vegetarian, pasta, parmesan, cheese, cream sauce]"
52796,"[Chicken, squash, mushrooms]","[pasta, chicken, mushroom, cheese, parmesan, italian] "
53014,"[yeast, flour, mozzarella, cheese, tomato purée]","[italian, vegetarian, pizza, cheese, tomato purée, flour, oven baked]"
52770,"[spaghetti, minced beef, tomatoes, ",
